Tamil,English
வணிக எதிர் செலவுகள்,Commercial contra expenses
தொடர்பாடல் கட்டணங்கள்,Frequency chargers
9 MHZ செய்மதி அலைவரிசை குத்தகை,Leasing of satellite band with 9 MHZ
கொழும்பு – பலாலி வீடியோ பரிமாற்ற இணைப்பு,Colombo – Palali link for video transmission
ஒளியிழை இணைப்பு வாடகை,Rental for fiber optic link
மூன்றாம் உட்கட்டமைப்பு பணியமர்த்தல்,Hiring of third party infrastructure
3.6 தேய்மானம்,3.6 Depreciation
மதிப்பிறக்க தேய்மானம்,Depreciation
மொத்த ஒளிபரப்பு நிகழ்ச்சி தயாரிப்புச் செலவு,Total cost of sales
4. விநியோகச் செலவுகள்,4. Distribution expenses
முகவர் தரகு,Agency commission
சந்தை வாய்ப்பு மேம்படுத்தல் செலவு,Promotional expenses
ஐயக்கடன் மானியம்,Bad debts provision
ஊழியர்,-Employee
நானாவித கடன்,-Sundry
சேவைபெறுவோர்,-Clients
மொத்த விநியோகச் செலவு,Distribution Expenses
5. நிர்வாகச் செலவுகள்,5. Administrative expenses
அங்கத்துவச் செலவு – அங்கத்துவ சம்பளம்,Member’s  remuneration
சம்பளம் / கொடுப்பனவுகள் (நிரந்தர பணியாளர்கள்),Salaries /allowances – Permanent Staff
சம்பளம் / கொடுப்பனவுகள் (ஒப்பந்த பணியாளர்கள்),Salaries /allowances – Contract Staff
மிகைநேர கொடுப்பனவுகள்,Overtime
ஊழியர் சேமலாபநிதி கூடடுத்தாபன பங்களிப்பு,Corporation share of EPF
ஊழியர் சேமலாபநிதி ஊழியர் பங்களிப்பு,Corporation share of ETF
விடுமுறைக்கால கொடுப்பனவுகள்,Holiday pay
நிர்வாக அதிகாரிகளின் வார இறுதிநாள் கொடுப்பனவுகள்,Week-end payment for executive
"கனரக, மற்றும் கனமான வேலை கொடுப்பனவுகள்",Hardship/altitude /heavy duty
கடமை அதிகாரிகள் மற்றும் பொறியியலாளர் கட்டணம்,Duty officers/engineering fees
தொழில்சார் நிறைவேற்று உத்தியோகத்தர் அங்கத்துவக் கட்டணம்,Membership fees for professional executives
ஓய்வூதியம் விதவை அனாதை நிதியப் பங்களிப்பு,Contribution for pension & W & O.P
ஊக்குவிப்பு கொடுப்பனவுகள்,Incentive allowance
உணவுக் கொடுப்பனவுகள் - நிறைவேற்று அதிகாரி அல்லாதோர்,Meal allowance – Non executive
போக்குவரத்துக் கொடுப்பனவுகள்,Transport allowance
மருத்துவ கொடுப்பனவுகள்,Enhancement medical leave
ஊக்குவிப்புப் பணிக்கொடை நட்டஈடு,Incentive gratuity & compensation
வெகுமதி,Bonus
ஆளணி நலன்புரி சேவைகள்,Staff welfare
பொழுதுபோக்கு விளையாட்டு சேமநலம்,Recreation
ஊழியர் சீருடை,Uniform to staff
காப்புறுதித் தவணைப்பணம்(மருத்துவ),Premium – medical insurance scheme
காப்புறுதி தவணைப்பணம் திடீர் விபத்து மற்றும் ஆயுள்,Premium for accident & life insurance
போக்குவரத்து செலவும் இணைந்த கொடுப்பனவுகளும் (உள்நாட்டு),Traveling & subsidence - Local
போக்குவரத்து செலவும் இணைந்த படிகள் மைல் கொடுப்பனவு,Traveling & subsidence – Mileage allowance
போக்குவரத்துச் செலவும் இணைந்த படிகளும் (வெளிநாட்டு),Traveling & subsidence - foreign
இதர செலவுகள் வெளிநாட்டுப் பயணங்கள்,Incidental expenses – Foreign travel
உபசரிப்பு நடவடிக்கைகள் / பொழுதுபோக்கு,Corporation refreshment / entertainment
"வாடகை , மற்றும் வரிகள்","Rent, rates & taxes"
மின்சாரம் மற்றும் ஆற்றல்,Electricity & power
தொலைபேசிக்கான நிரந்தரக் கொடுப்பனவுகள்,Telephone including rental
பாதுகாப்புச் சேவைகள்,Security service
தபால்,Postage
பிரசுரங்களும் காகிதாதிகளும்,Printing & stationary
பத்திரிகைகளும் தவணை வெளியீடுகளும்,Newspapers & periodicals
காரியாலயத் தேவைகள்,Office requisites
சொத்து விற்பனை நட்டங்கள்,Losses on disposal
செலாவணி மாற்று நட்டங்கள்,Exchange losses
நானாவித செலவுகள்,Sundry expenses
டென்டர் மற்றும் ஆட்சேர்ப்புக்குமான விளம்பரம்,Advertisement – Tender & recruitment
நீதிமன்ற வழக்குகளின் நட்டஈடு,Compensation for court cases
மோட்டார் வாகன இயங்கும் செலவுகள்,Running expenses of motor vehicles
மோட்டார் வாகன வாடகை,Hire of motor vehicles
காப்புறுதி கட்டடங்களும் வேறு சொத்துக்களும்,Insurance – building & other assets
அனுமதிப்பத்திரமும் காப்புறுதியும் (வாகனங்கள்),License & insurance motor vehicles
பழுதுபார்ப்பும் பராமரிப்பும் - கட்டடம்,Repairs & maintenance – building
பழுதுபார்ப்பும் பராமரிப்பும் - தோட்டம்,Repairs & maintenance – Garden
பழுதுபார்ப்பும் பராமரிப்பும் - வேறுசொத்துக்கள்,Repairs & maintenance – Other expenses
நீர்,Water
கணினி தேவைகள்,Computer requisites
மைக்ரோசொப்ட் தயாரிப்புக்கான அனுமதிப்பத்திர கட்டடணம்,License fee for Microsoft product & other expenses
மாநாடுகளும் பயிற்சி வேலைத்திட்டங்களும்(பொது),Seminar & training programme - General
ஆண்டு நிறைவு விழா,Anniversary celebration
ஓலி பெருக்கித் தொகுதி கட்டணம் வாடகை,Public addressing system charges /rental
மோட்டார் வாகனப் பழுது பார்த்தல்,Repairs of motor vehicles
விளம்பரம் மற்றும் மேம்பாட்டு வேலைத்திட்டம்,Publicity & propaganda
பயிற்சிச் செலவுகள் (உள்ளக),Training expenditure – internal
ஆய்வு ஆராய்ச்சிச் செலவு,Survey & research expenses
நன்கொடை,Donation
பொதுமக்கள் தொடர்பு,Public relation
தேசிய நிகழ்வுகள்,National events
ஜனாதிபி தேர்தல் செலவுகள்,Expenses for elections - Presidential
ABU பயிற்சிச் செலவு,ABU training expenses
சந்தா கட்டணம்,Subscription fees
தேய்மானம்,Depreciation
தேச நிர்மாண வரி,Nation Building Tax
ஓய்வுப் பணிக்கொடை மானியம்,Retirement benefit obligation
நிர்வாகச் செலவுகள்,Administrative expenses
6. நிதி மற்றும் வேறு கட்டணங்கள்,6. Financial & other charges
வங்கிக் கட்டணம்,Bank charges
வங்கி வட்டி,Bank interest
குத்தகைக்கான வட்டி (வாகனக் கடன்),Lease interest (Vehicle loan)
கணக்காய்வுக் கட்டணம்,Audit fees
சட்டக் கட்டணங்கள்,Legal fees
முத்திரை வரி,Stamp duty
நிதி மற்றும் தள்ளுபடி,Financial & other write offs
விசேடவட்டி – திறைசேரி,Special levy - Treasury
நிதி மற்றும் வேறு கட்டணங்கள்,Financial & other charges
7. வரி விதிப்பு,7. Taxation
வரி விதிப்புக்கு முந்திய இலாபம்,Profit /(loss) for the taxation
தேய்மானம்,Depreciation
வட்டி செலுத்தியமை,Interest paid
கூட்டுத்தாபன உபசரிப்பு,Corporation entertainment
நன்கொடைகள்,Donations
விளம்பரங்களும் விளம்பர அமைப்புக்களும் (25%),Publicity & propaganda (25%)
வர்த்தக மேம்பாட்டுச் செலவு(25%),Commercial promotional expenses (25%)
வர்த்தக ஒப்பந்தச் செலவு (50%),Contra expenses (50%)
சொத்து நீக்கம் இலாபம் / நட்டம்,Profit / loss on disposal
சொத்து நீக்கம் தொடர்பான வரி இலாபம் / நட்டம்,Tax gain / loss
வருடாந்த கொண்டாட்ட நிகழ்வு,Anniversary celebration
பணிக் கொடைக்கான மானியம்,Provisions for gratuity
செலுத்திய பணிக்கொடை,Paid gratuity
கழிக்கப்பட்ட நிச்சயப்படுத்தப்பட்ட ஐயக் கடன் பட்டோர்,Specific bad debts write off
வட்டி வருமானம்,Interest income
வேறு வருமானம்,Other income
வெளிநாட்டுக் கொடுப்பனவுக் கடன் குறைப்பு,Grant for capital items
மூலதன கொடுப்பனவு,Capital allowances
வெளிநாட்டு கொடுப்பனவு கடன் குறைப்பு,Amortization of foreign aid
வியாபார இலாபம் / நட்டம்,Business profit / (loss)
வட்டி வருமானம்,Interest income
ஏனைய வருமானம்,Other income
மொத்த சட்டரீதியான வருமானம்,Total statutory income
நிகர இலாபம் ஏற்படக்கூடிய இழப்புகள் 35%,35% from net profit allowable losses b/f
வட்டி செலுத்தியமை,Interest paid
வரி விதிப்புக்குரிய வருமானம்,Assessable income
தகுதி செலுத்தும் கட்டணம்,Qualifying payments
வரிக்கு உட்பட்ட வருமானம்,Taxable income
வருமானவரி (28%),Tax amount (28%)
சமூகப் பொறுப்பு வரி (வருமானவரி மீதான 1.5%),SLR (1.5% from income tax)
வருமானவரி பொறுப்பு,Income tax liability
ஒத்திவைக்கப்பட்ட வரி,Deferred tax
2010ம் ஆண்டின் விதிகளுக்கு அமைவான வருமானவரி,Income tax over provision for the year 2010
வருமான வரி,Income tax
சொத்து  தேய்மானம் மற்றும்  உபகரணங்கள்,"Property, Plant & equipment"
குறிப்பு,Note
2012.01.01 இன் மிகுதி,Balance as at 01.01.2012.
சேர்க்கை,Additions
தள்ளுபடி,Disposals
2012.12.31  இன் மிகுதி,Balance as at 31.12.2012
காணி,Land
கட்டடம்,Building
சொத்து  தேய்மானம் மற்றும்  உபகரணங்கள்,Furniture & Fittings
தேய்மானம் மற்றும் உபகரணம்,Plant & Equipment
அலுவலக உபகரணம்,Office Equipment
இலத்திரனியல் உபகரணம்,Electrical Equipment
தொலைக்காட்சிப் பெட்டிகள்,TV Sets
நூல்நிலைய நூல்கள்,Library Stocks
தளர்வான கருவிகள் மற்றும் உபகரணங்கள்,Loose Tools & Accessories
கணணி,Computer
ஏனைய சொத்துக்கள்,Other Assets
கணக்காய்வு மென்பொருள்,Accounting Software
என்ரிவி அலைவரிசைக்காக பெறப்பட்ட உபகரணங்கள்,Equipments for NTV
மோட்டார் வாகனம்,Motor Vehicle
இசை உபகரணம்,Musical Instrument
கரவன் வாகனம்,Caravan Equipment
பாதுகாப்பு உபகரணம்,Security Equipment
JICA திட்டத்தின் கீழான உபகரணம்,JICA Project
மொத்த சொத்துக்களின் பெறுமதி,Total Value of Assets
தேய்மானம்,Depreciation
குறிப்பு,Note
2012.01.01 இன் படி மிகுதி,Balance as at 01.01.2012
மேலதிகமாக,Additions
அகற்றுதல்,Disposals
2012.12.31 இன் படி மிகுதி,Balance as at 31.12.2012
காணி,Land
கட்டிடம்,Building
தளபாடங்கள் மற்றும் பொருத்துதல்,Furniture & Fittings
தேய்மானம் மற்றும் உபகரணம்,Plant & Equipment
என்ரிவி அலைவரிசைக்கான உபகரணங்கள்,Equipment for NTV
அலுவலக உபகரணம்,Office Equipment
இலத்திரனியல் உபகரணங்கள்,Electrical Equipment
தொலைக்காட்சிப் பெட்டிகள்,TV Sets
நூலகப் புத்தகங்கள்,Library Stocks
சிறிய ஆயுதங்களும் உபகரணங்களும்,Loose Tools & Accessories
கணணிகள்,Computer
ஏனைய சொத்துக்கள்,Other Assets
கணக்காய்வு மென்பொருள்,Accounting Software
மோட்டார் வாகனங்கள்,Motor Vehicle
இசைக்கருவிகள்,Musical Instrument
கரவன் வாகனம்,Caravan Equipment
பாதுகாப்பு உபகரணங்கள்,Security Equipment
JICA திட்டத்தின் கீழான உபகரணம்,JICA Equipment received under the project
மொத்த சொத்துக்களின் தேய்மானம்,Total Depreciation
சொத்துக்களின் மொத்த பெறுமானம்,8. Net book value of assets
குறிப்பு,Note
2012.01.01 இன் படி மிகுதி,Balance as at 01. 01. 2012
2012.12.31  இன் படி மிகுதி,Balance as at 31. 12. 2012
செலவு,At Cost
தேய்மானம்,Depreciation
"சொத்து, தேய்மானம் உபகரணங்களின் பெறுமதி","Total Carrying amount of Property, Plant & Equipment"
நடைபெறும் பணிகள்,Work- in progress
குறிப்பு,Note
2012.01.01அன்று இருப்பு,Balance as at 01. 01. 2012
மேலதிகமானது,Additions
மாற்றப்பட்டது,Transfers
2012.12.31 அன்று இருப்பு,Balance as at 31. 12. 2012
நடைபெறும் பணிகள்,Work- in progress
குறிப்பு,Note
2012.01.01 நிலுவை,Balance as at 01.01.2012
2012.12.31 நிலுவை,Balance as at 31.12.2012
"சொத்து, தேய்மானம் உபகரணங்களின் பெறுமதி","Total Carrying amount of Property, Plant & Equipment"
நடைபெறும் பணிகள்,Work – in Progress
மொத்தத்தொகை,Total
இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனம்,Sri Lanka Rupavahini Corporation
நிதி அறிக்கைக் குறிப்பு,Notes to the financial statements
குறிப்பு,Note
9.  தொட்டுணரத்தக்கதல்லாத உடமைகள்,9. Intangible assets
தொலைக்காட்சி நாடகங்கள் கொள்வனவு,Purchase of teledrama
வீட்டு உற்பத்தி தொலைக்காட்சி நாடகங்கள்,In-house production teledrama
வீட்டுத் தயாரிப்பு – மற்றவர்கள்,In-house production - others
வெளிநாட்டு நிகழ்ச்சி பொருட்கள்,Programme material foreign
உள்ளுர் நிகழ்ச்சிகள் (ஒளிபரப்பு செய்யப்படாதவை),Local Programmes (Not telecast)
உள்ளுர் நிகழ்ச்சிகள் ( பணிநிலை),Local Programmes (Work-In Progress)
தொட்டுணரத்தக்கதல்லாத உடமைகள்,Intangible assets
10. ஏனைய சொத்ததுக்களின் பெறுமதி,10. Held to maturity financial assets
நிரந்தர வைப்பீடு (இலங்கை வங்கி),Fixed deposits (Bank Of Ceylon)
நிரந்தர வைப்பீடு  (அரசஈட்டு மற்றும் முதலீட்டு வங்கி),Fixed deposit (State Mortgage &  Investment Progress)
11. இருப்பு,11. Stocks
பதிப்பு மற்றும் காகிதாதிகள்,Printing & stationary
மேலதிக உதிரிப்பாகங்கள் - ENG 1,Spare parts – ENG 1
மேலதிக உதிரிப்பாகங்கள் - ENG 11,Spare parts – ENG 11
ஊடக உருவ பொருட்கள்,Graphics material
ஒப்பனைப் பொருட்கள்,Make-up material
கட்டிடப்பொருட்கள்,Building material
மோட்டார் வாகனப் பொருட்கள்,Motor vehicle material
டீசல் தொகை,Diesel stocks
அலுவகத்திற்குத் தேவையான பொருட்கள்,Office requisites
(முத்திரைளும் காகிதாதிகளும் தவிர்ந்த ஏனையவை),(Exuding printing & stationary)
ஏனைய பொருட்கள்,Miscellaneous items
பிரதான களஞ்சியத்திலுள்ள இறுவெட்டுக்களும் டேப்புகளும்,Cassettes & tapes (bank) in main stores
இலத்திரனியல் மற்றும் பாவனைப்பொருட்கள்,Electrical consumables
நூலகத்திலுள்ள இறுவெட்டுக்களும் டேப்புக்களும்,Cassettes & tapes in the Library
ஒளிப்பதிவு செய்யப்பட்ட கெசட்,Recorded cassettes
தளர்வான கருவிகள்,Loose tools
தொலைக்காட்சிப் பெட்டிகள்,TV Sets
அச்சுப்பொறி,Printer
சஞ்சிகை,Magazine
இருப்பு,Stocks
12. வர்த்தக வரவுகள்,12. Trade receivables
கடன்பட்டோர் - சேவை வழங்குநர்,Client debtors
வர்த்தக வரவுகள்,Trade receivables
13. கடன் மற்றும் வேறு நிலுவைகள்,13. Loans & other receivables
13.1  திறைசேரி உண்டியல்,13.1 Treasury bills
திறைசேரி உண்டியல்,Treasury bills
13.2 கடன்பட்டோர் - பணியாளர்,13.2 Debtors - Employee
தொலைக்காட்சி கடன் – வேறு கடன்,TV loan - others
இடர் கடன்,Distress loan
வைபவ முற்பணம்,Festival advance
போக்குவரத்துக் கடன்,Transport loan
விசேடக்கடன்,Special loan
புடவைக் கடன்,Textile loan
வேறு கடன்,Other loan
வீட்டுக்கடன்,Housing loan
வீட்டுக்கடன் முற்பணம்,Housing loan prepayments
கடன்பட்டோர் - பணியாளர்,Debtors - Employee
கடன் மற்றும் இதர வரவுகள்,Loan & other receivable
14.  இதர வரவுகள்,14. Other receivables
14.1 முற்பணம் மற்றும் வைப்பீடு,14.1 Advance & deposits
அரச ஈட்டு மற்றும் முதலீட்டுவங்கி (வீட்டுக்கடன்    நிதியம்),State Mortgage & Investment Bank (Housing loan fund)
புகையிரத சரக்குகள்,Goods in transit
விநியோகஸ்தவர்களுக்கான முற்பணம்- விலைக்கொள்வனவு (உள்ளுர் நிறுவனம்),Advance to suppliers – local purchase (Institute)
விநியோகஸ்தவர்களுக்கான முற்பணம் - நிகழ்ச்சித் தயாரிப்பு,Advance to suppliers – For programme production
ஊழியர்களுக்கான முற்பணம் - பல்வேறு,Advance to employees – Miscellaneous
ஊழியர்களுக்கான முற்பணம் - நிகழ்ச்சிகள்,Advance to employees - Programme
கலைஞர்களுக்கான முற்பணம்,Advance to Artistes
சேவைகளுக்கான வைப்பீடு – மீளச் செலுத்தல்,Deposits for services - Refundable
போக்குவரத்துச் செலவு முற்பணம் - உள்ளுர்,Travelling advance - Local
அறை வாடகைக்கான முற்பணம்,Advance for room charges
வெளிநாட்டுக் கொள்வனவு முற்பணம்-   உதிரிப்பாகங்கள்,Advance on foreign purchase – spares parts
ஒப்பந்தக்காரர்களுக்கு வழங்கப்பட்ட முற்பணம்,Advance to contractors
ஊழியர்களுக்கு வழங்கப்பட்ட முற்பணம் - கொள்வனவு,Advance to employees - Purchase
போக்குவரத்துச் செலவு முற்பணம் - வெளிநாடு,Travelling advance - Foreign
முற்பணம் - சமூக சேமநல நிதியம்,Advance – Social welfare fund
சிறு தொகை - நிர்வாகப் பிரிவு,Stamp IMP – Administration Division
நிறுத்தி வைக்கப்பட்ட வரி,Withholding tax (WHT) deducted at source
பொருளாதார சேவைக் கட்டணம்,Tax – Economic Service Charge (ESC)
முற்பணம் மற்றும் வைப்புகள்,Advance & deposits
14.2 கடன்பட்ட ஏனையோர்,14.2 Sundry debtors
ஓய்வுபெற்ற/இராஜினாமாச்செய்தவர்களிடமிருந்து  கிடைக்க வேண்டியவை,Recoverable from retired /resigned employees
கிடைக்க வேண்டிய வருமானம்,Income receivables
(உள்ளுர் வருமானம் மற்றும் ஏனையவை),(From inland revenue & other)
கிடைக்கவேண்டிய வருமானம் - முதலீட்டு வருமானம்,Staff debtors - Sundries
கடன்பட்ட ஊழியர்கள் - பல்வேறு  காப்புறுதிக் கூட்டுத்தாபனம்- வைத்தியக் காப்புறுதி,Insurance corporation medical scheme
நாணய சீரமைப்பு,Coin adjustment
குத்தகையடிப்படையில் பெற்ற தள்ளுபடிக் கணக்கு,Lease interest suspense A/C
கடன்பட்ட ஏனையோர்,Sundry debtors
கடன்பட்ட ஏனையோர் - கடன் தள்ளுபடி,Less: Impairment of sundry debtors
ஏனைய வரவுகள்,Other receivables
"15.  பணம், வங்கி நிலுவை மற்றும் வைப்பு","15. Cash, bank balance & deposits as call"
இலங்கை வங்கி சேமிப்புக்கணக்கு,BOC saving A/C
கையிருப்பு,Cash in hand
இலங்கைவங்கி நிலுவை நிறுவனக் கிளை,Bank balance BOC corporate Branch
இலங்கைவங்கி நிலுவை டொறிங்டன் கிளை,Bank balance BOC Torrington Branch
"பணம், வங்கி நிலுவை மற்றும் வைப்பு","Cash, bank balance & deposits as call"
16.  முதலீட்டுக்கான அரசாங்கத்தின் பங்களிப்பு,16 Government grant for capital items
முதலீட்டுக்கான அரசாங்கத்தின் பங்களிப்பு,Government grant for capital items
முதலீட்டுக்கான அரசாங்கத்தின் பங்களிப்பு,Government grant for capital items
17.  ஓய்வு பெற்றோருக்கான கொடுப்பனவு,17 Retirement benefit obligation -
ஓய்வு பெற்றோருக்கான கொடுப்பனவு,Retirement benefit obligation - Gratuity
ஓய்வு பெற்றோருக்கான கொடுப்பனவு,Retirement benefit obligation - Gratuity
18.  வர்த்தக கொடுப்பனவுகள்,18 Trade payables
வாடிக்கையாளர்கள் கடன்,Creditors client
செலுத்தவேண்டிய நிறுவனத்தின் கமிஷன்,Agency commission payable
வாடிக்கையாளர் பரிமாற்றம் / மீளச்செலுத்தியது,Client transfer / refunds
வர்த்தக கொடுப்பனவுகள்,Trade payables
ஏனைய நிதிப் பொறுப்புகள்,Other financial liabilities
சேர்ந்த செலவுகள்,Accrued expenses
கோரப்படாத சம்பளம் மற்றும் ஊதியம்,Unclaimed salaries & wages
தக்கவைப்பு - ஒப்பந்தம்,Retention - contract
பாதுகாப்பு - ஒப்பந்தம் மற்றும் வழங்குனர்,Security – contract & suppliers
கட்டுப்படுத்தப்பட்ட கடன்பட்டோர்,Creditors control
ரத்துச்செய்யப்பட்ட காசோலைகள் - நிறுவனம்,Cancelled cheques - corporate
கலைஞர்களுக்கான கட்டணம்-,Artistes fee payable (cancelled cheques)
ரத்துச்செய்யப்பட்ட காசோலைகள் தக்கவைப்பு - இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனம் ஊழியர்கள்,Retention – Sri Lanka Rupavahini Corporation employees
இலங்கை ஒளிபரப்புக் கூட்டுத்தாபனம்,Sri Lanka Rupavahini Corporation
முற்பண பற்றுச்சீட்டு,Prereciepts
கேள்விப்பத்திர வைப்புகள் (திரும்பப்பெறல்),Tender deposits (refundable)
சம்பள கொடுப்பனவுகள்,Salaries payable
ரூபவாஹினி அருங்காட்சியக நிதி,Fund for Rupavahini museum
CIR முத்திரை தீர்வை,CIR stamp duty
மாநில அமைச்சு,Ministry of state
ஓய்வூதியக் சிறந்த விதிக் கொடுப்பனவு,Provision for fine on gratuity
இதர கொடுப்பனவுகள் - சுவ சாஹான,Miscellaneous payable – Suwa sahana
அரசாங்கத்தற்கு செலுத்த வேண்டியவை,Provision for dividend (to the government)
ஏனைய நிதிப் பொறுப்புகள்,Other financial liabilities
20.  ஏனைய கொடுப்பனவுகள்,20 Other payables
வருமானம் மீதான நிறுத்திவைக்கப்பட்ட வரி,Retention with holding tax
வருமான வரி,Provision for income tax
VAT வரி கட்டுப்படுத்தப்பட்ட கணக்கு,VAT control A/C
நிறுத்தி வைத்த செலவு மீதான வரி,Retention with holding turnover tax
PATE வரி,PATE tax
ஏனைய கொடுப்பனவுகள்,Other payables
21.  வங்கி மேலதிகப்பற்று - இலங்கை வங்கி நிறுவனக்கிளை,21 Bank overdraft – BOC corporate branch
வங்கி மேலதிகப்பற்று - இலங்கை வங்கி நிறுவனக்கிளை,Bank overdraft – BOC corporate branch
வங்கி மேலதிகப்பற்று - இலங்கை வங்கி நிறுவனக்கிளை,Bank overdraft – BOC corporate branch
22.  நிதி குத்தகைகள்,22 Finance leases
22.1 தற்போதைய காலப்பகுதிக்கு செலுத்தப்பட வேண்டிய நிதிக்குத்தகை,22.1 Finance leases payable current portion
22.2 தற்போதைய காலம் அல்லாத செலுத்தப்பட   வேண்டிய நிதிக் குத்தகை,22.2 Finance leases payable non-current portion
நிதிக் குத்தகைகள்,Finance leases
2013 ஒக்டோபர் 31,February 2014
"தலைவர்,","The Chairman,"
இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனம்,Sri Lanka Rupavahini Corporation
இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனத்தின் 2012 டிசம்பர் 31 இல் முடிவடைந்த ஆண்டிற்கான நிதிக்கூற்றுக்கள் மீது 1971 இன் 38 ஆம் இலக்க நிதி அதிகாரச்சட்டத்தின் 14(2)(சீ) பிரிவின் பிரகாரம் கணக்காய்வாளர் தலைமை அதிபதியின் அறிக்கை,Report of the Auditor General on the Financial Statements of the Sri Lanka Rupavahini Corporation for the year ended 31 December 2012 in terms of Section 14 (2) (c) of the Finance Act No. 38 of 1971
"இலங்கை ரூபவாஹினிக் கூட்டுத்தாபனத்தின் 2012 டிசம்பர் 31 இல் உள்ளவாறான ஐந்தொகை மற்றும் அத்திகதியில் முடிவடைந்த ஆண்டிற்கான வருமானமக் கூற்று, உரிமை மூலதனத்தில் மாற்றங்கள் கூற்று, காசோட்டக்கூற்று மற்றும் முக்கியமான கணக்கீட்டுக்கொள்கைகளின் பொழிப்புக்களையும் ஏனைய விளக்கத் தகவல்களையும் உள்ளடக்கிய 2012 டிசம்பர் 31 இல் முடிவடைந்த ஆண்டிற்கான நிதிக்கூற்றுக்களின் கணக்காய்வு 1971 இன் 38 ஆம் இலக்க நிதி அதிகாரச்சட்டத்தின் 13(1) ஆம் பிரிவு மற்றும் 1982 ஆம் ஆண்டின் 6 ஆம் இலக்க இலங்கை ரூபவாஹினிக் கூட்டுத்தாபன அதிகாரச் சட்டத்தின் 16(3) ஆம் பிரிவு என்பவற்றுடன் சேர்த்து வாசிக்கப்படும் இலங்கை சனநாயக சோசலிசக் குடியரசு அரசியலமைப்பின் 154(1) ஆம் உறுப்புரையிலுள்ள ஏற்பாடுகளுக்கு இணங்க எனது பணிப்பின் கீழ் மேற்கொள்ளப்பட்டது.","The audit of financial statements of the Sri Lanka Rupavahini Corporation for the year ended 31 December 2012 comprising the statement of financial position as at 31 December 2012 and the comprehensive income statement, statement of changes in equity and cash flow statement for the year then ended and a summary of significant accounting policies and other explanatory information, was carried out under my direction in pursuance of provisions in Article 154 (1) of the Constitution of the Democratic Socialist Republic of Sri Lanka read in conjunction with Section 13(1) of the Finance Act, No. 38 of 1971 and Section 16(3) of the Sri Lanka Rupavahini Corporation Act, No. 6 of 1982."
நிதி அதிகாரச்சட்டத்தின் 14(2)(சீ) பிரிவின் பிரகாரம் கூட்டுத்தாபனத்தின் வருடாந்த அறிக்கையுடன் சேர்த்துப் பிரசுரிக்கப்பட வேண்டுமென நான் கருதும் எனது கருத்துக்களும் அவதானிப்புக்களும் இந்த அறிக்கையில் காணப்படுகின்றன.,My comments and observations which I consider should be published with the annual report of the Corporation in terms of Section 14(2)(c) of the Finance Act appear in this report.
"நிதி அதிகாரச்சட்டத்தின் 13(7)(ஏ) பிரிவின் பிரகாரம், ஒரு விபரமான அறிக்கை 2013 ஆகஸ்ட் 15 ஆந் திகதி கூட்டுத்தாபனத்தின் தலைவருக்கு வழங்கப்பட்டது.",A detailed report in terms of Section 13(7)(a) of the Finance Act was issued to the Chairman of the Corporation on 15 August 2013.
1.2 நிதிக்கூற்றுக்களுக்கான முகாமைத்துவத்தின் பொறுப்பு,1.2 Management’s Responsibility for the Financial Statements
இந் நிதிக்கூற்றுக்களை இலங்கை கணக்கீட்டு நியமங்களுக்கு இணங்க தயாரித்து நியாயமாகச் சமர்ப்பித்தல் மற்றும் மோசடி அல்லது தவறுகளின் காரணமாக ஏற்படக்கூடிய பொருண்மையான பிறழ் கூற்றுக்களிலிருந்து விடுபட்ட நிதிக்கூற்றுக்களைத் தயாரிப்பதற்கு அவசியமானதென முகாமைத்துவம் நிர்ணயிக்கின்ற அத்தகைய உள்ளகக் கட்டுப்பாடுகள் என்பனவற்றிற்கு முகாமைத்துவம் பொறுப்பாக உள்ளது.,"Management is responsible for the preparation and fair presentation of these financial statements in accordance with Sri Lanka Accounting Standards and for such internal control as the management determines is necessary to enable the preparation of financial statements that are free from material misstatements, whether due to fraud or error."
1.3 கணக்காய்வாளரின் பொறுப்பு,1.3 Auditor’s Responsibility
எனது கணக்காய்வின் அடிப்படையில் நிதிக்கூற்றுக்களின் மீது அபிப்பிராயம் தெரிவிப்பது எனது பொறுப்பாகும்.,My responsibility is to express an opinion on these financial statements based on my audit.
இலங்கை கணக்காய்வு நியமங்களுக்கு இணங்க எனது கணக்காய்வினை நான் மேற்கொண்டேன்.,I conducted my audit in accordance with Sri Lanka Auditing Standards.
ஒழுக்க நெறி வேண்டுதல்களுடன் நான் இணங்கி நடப்பதனையும் நிதிக்கூற்றுக்கள் பொருண்மையான பிறழ் கூற்றுக்கள் அற்றவையா என்பதற்கான நியாயமான உறுதிப்பாட்டைப் பெற்றுக்கொள்வதற்கு கணக்காய்வு திட்டமிட்டு மேற்கொள்ளப்படுவதனையும் இந்நியமங்கள் வேண்டுகின்றன.,Those Standards require that I comply with ethical requirements and plan and perform the audit to obtain reasonable assurance about whether the financial statements are free from material misstatements. An audit involves performing procedures to obtain audit evidence about the amounts and disclosures in the financial statements.
